source,target ,value
Syrian Arab Rep,Turkey,3641370
Syrian Arab Rep,Lebanon,865300
Syrian Arab Rep,Jordan,662790
Syrian Arab Rep,Germany,605338
Syrian Arab Rep,Iraq,242163
Afghanistan,Pakistan,1438432
Afghanistan,Iran,780000
Afghanistan,Germany,147994
Afghanistan,Austria,40096
Afghanistan,France,31546
South Sudan,Uganda,887452
South Sudan,Sudan,736685
South Sudan,Ethiopia,365030
South Sudan,Kenya,123912
South Sudan,Congo,54755
Myanmar,Bangladesh,866518
Myanmar,Malaysia,119579
Myanmar,Thailand,91805
Myanmar,India,19398
Myanmar,United States,1272
Dem. Rep. of the Congo,Uganda,417407
Dem. Rep. of the Congo,Burundi,74928
Dem. Rep. of the Congo,Rwanda,74303
Dem. Rep. of the Congo,Zambia,54715
Dem. Rep. of the Congo,Tanzania,50860
Somalia,Kenya,265352
Somalia,Ethiopia,203803
Somalia,Yemen,151155
Somalia,Uganda,37536
Somalia,Germany,28061
